Time,Open,High,Low,Close,Qty,Number,VWAP
2023-05-14 04:17:00,0.2113,0.2113,0.2112,0.2112,359.0,4,0.211266573816156
2023-05-14 04:18:00,0.2112,0.2112,0.2112,0.2112,120.0,1,0.2112
2023-05-14 04:19:00,,,,,0.0,0,
2023-05-14 04:20:00,,,,,0.0,0,
2023-05-14 04:21:00,0.2113,0.2113,0.2113,0.2113,236.0,3,0.2113
2023-05-14 04:22:00,0.2113,0.2113,0.2113,0.2113,873.0,10,0.2113
2023-05-14 04:23:00,,,,,0.0,0,
2023-05-14 04:24:00,0.2114,0.2115,0.2114,0.2115,1482.0,10,0.21143326585695008
2023-05-14 04:25:00,0.2114,0.2114,0.2114,0.2114,120.0,1,0.21139999999999998
2023-05-14 04:26:00,0.2112,0.2112,0.2111,0.2111,238.0,2,0.21114999999999998
2023-05-14 04:27:00,,,,,0.0,0,
2023-05-14 04:28:00,0.2112,0.2112,0.2112,0.2112,236.0,2,0.21119999999999997
2023-05-14 04:29:00,0.2112,0.2114,0.2112,0.2114,1455.0,14,0.21131567010309277
2023-05-14 04:30:00,0.2113,0.2117,0.2112,0.2115,9381.0,23,0.21134498454322564
2023-05-14 04:31:00,,,,,0.0,0,
2023-05-14 04:32:00,,,,,0.0,0,
2023-05-14 04:33:00,0.2117,0.2118,0.2117,0.2118,4195.0,5,0.21177647199046484
2023-05-14 04:34:00,0.2118,0.2119,0.2118,0.2119,1226.0,3,0.2118097879282219
2023-05-14 04:35:00,0.2118,0.212,0.2118,0.212,16490.0,30,0.21190091570648878
2023-05-14 04:36:00,0.212,0.212,0.212,0.212,188.0,2,0.21200000000000002
2023-05-14 04:37:00,0.212,0.212,0.212,0.212,942.0,3,0.21200000000000002
2023-05-14 04:38:00,,,,,0.0,0,
2023-05-14 04:39:00,0.212,0.212,0.212,0.212,120.0,1,0.21200000000000002
2023-05-14 04:40:00,0.212,0.212,0.212,0.212,1188.0,3,0.212
2023-05-14 04:41:00,,,,,0.0,0,
2023-05-14 04:42:00,0.2119,0.2119,0.2118,0.2118,5874.0,4,0.2118020429009193
2023-05-14 04:43:00,0.2117,0.2118,0.2117,0.2118,1075.0,3,0.21179116279069768
2023-05-14 04:44:00,,,,,0.0,0,
2023-05-14 04:45:00,0.2119,0.212,0.2119,0.212,6987.0,13,0.21198588807785887
2023-05-14 04:46:00,0.2118,0.2119,0.2117,0.2117,4749.0,11,0.21175346388713412
2023-05-14 04:47:00,,,,,0.0,0,
2023-05-14 04:48:00,0.2116,0.2117,0.2116,0.2117,26211.0,14,0.21160137346915417
2023-05-14 04:49:00,0.2118,0.2118,0.2118,0.2118,1105.0,3,0.2118
2023-05-14 04:50:00,0.2118,0.212,0.2118,0.212,3357.0,10,0.21191689008042894
2023-05-14 04:51:00,0.2119,0.2119,0.2115,0.2115,5937.0,12,0.21172735388243222
2023-05-14 04:52:00,0.2116,0.2116,0.2116,0.2116,120.0,1,0.21159999999999998
2023-05-14 04:53:00,0.2116,0.2117,0.2116,0.2116,451.0,3,0.21164700665188468
2023-05-14 04:54:00,,,,,0.0,0,
2023-05-14 04:55:00,0.2117,0.2117,0.2116,0.2116,2836.0,8,0.2116147743300423
2023-05-14 04:56:00,,,,,0.0,0,
2023-05-14 04:57:00,0.2116,0.2118,0.2116,0.2117,316.0,3,0.21170284810126583
2023-05-14 04:58:00,,,,,0.0,0,
2023-05-14 04:59:00,,,,,0.0,0,
2023-05-14 05:00:00,0.2118,0.2118,0.2118,0.2118,154.0,3,0.2118
2023-05-14 05:01:00,,,,,0.0,0,
2023-05-14 05:02:00,,,,,0.0,0,
2023-05-14 05:03:00,0.2116,0.2117,0.2116,0.2117,1638.0,15,0.21168589743589744
2023-05-14 05:04:00,,,,,0.0,0,
2023-05-14 05:05:00,,,,,0.0,0,
2023-05-14 05:06:00,,,,,0.0,0,
2023-05-14 05:07:00,,,,,0.0,0,
2023-05-14 05:08:00,,,,,0.0,0,
2023-05-14 05:09:00,0.2116,0.2117,0.2116,0.2117,470.0,5,0.2116263829787234
2023-05-14 05:10:00,0.2117,0.2117,0.2117,0.2117,1729.0,7,0.2117
2023-05-14 05:11:00,0.2118,0.2118,0.2118,0.2118,2360.0,4,0.2118
2023-05-14 05:12:00,0.2118,0.2118,0.2118,0.2118,560.0,3,0.2118
2023-05-14 05:13:00,,,,,0.0,0,
2023-05-14 05:14:00,0.2117,0.2117,0.2117,0.2117,1322.0,1,0.21169999999999997
2023-05-14 05:15:00,0.2117,0.2117,0.2117,0.2117,120.0,1,0.2117
2023-05-14 05:16:00,,,,,0.0,0,
2023-05-14 05:17:00,,,,,0.0,0,
2023-05-14 05:18:00,,,,,0.0,0,
2023-05-14 05:19:00,,,,,0.0,0,
